state,district,metric,volume_classification,historical_mean,historical_total,forecast_periods,forecast_mean,forecast_max,forecast_trend,confidence_lower,confidence_upper,model_order,data_points
Jammu And Kashmir,Anantnag,demo_total,low_volume,272.18947368421055,25858,14,163.0166210114314,181.00030517630938,-2.487389618513112,-1933.9521087813296,2259.985350804192,"(1, 0, 0)",95
Jammu And Kashmir,Baramula,demo_total,low_volume,269.77894736842103,25629,14,0.0,0.0,0.0,-3701.71276232964,2677.4632072411164,"(2, 0, 1)",95
Jammu And Kashmir,Pulwama,demo_total,low_volume,180.56382978723406,16973,14,71.63472372346963,182.6115390645911,-11.813312713540297,-1308.8336215175243,1452.103068964463,"(3, 2, 1)",94
Jammu And Kashmir,Punch,demo_total,low_volume,182.6888888888889,16442,14,72.37729203301112,79.92682522337128,-0.28276465768502745,-1153.354889318914,1298.109473384936,"(2, 0, 0)",90
Jammu And Kashmir,Kathua,demo_total,low_volume,158.2340425531915,14874,14,78.67922715151447,97.70434357619195,-2.541435347719536,-1858.4600435186264,2015.8184978216552,"(1, 0, 1)",94
Jammu And Kashmir,Rajouri,demo_total,low_volume,130.8021978021978,11903,14,77.65636634574733,159.31764802079587,-9.765110304008504,-2779.3407541729753,2934.65348686447,"(4, 0, 0)",91
Jharkhand,Giridih,demo_total,high_volume,979.8131868131868,89163,30,979.8131868131863,979.8131868131866,0.0,-8035.5938116252355,9995.22018525161,"(0, 0, 0)",91
Jharkhand,Palamu,demo_total,high_volume,913.6153846153846,83139,30,913.6153846153841,913.6153846153843,0.0,-6719.524503534369,8546.75527276514,"(0, 0, 0)",91
Jharkhand,Dhanbad,demo_total,high_volume,896.5384615384615,81585,30,896.5384615384612,896.5384615384613,0.0,-6940.055500360907,8733.132423437832,"(0, 0, 0)",91
Jharkhand,Ranchi,demo_total,high_volume,782.0430107526881,72730,30,161.04833017177626,264.7547672129052,-5.890590154859422,-12155.013544923055,12477.110205266606,"(1, 0, 0)",93
Jharkhand,Bokaro,demo_total,high_volume,581.6373626373627,52929,30,581.6373626373627,581.6373626373627,0.0,-3874.2189926365786,5037.493717911303,"(0, 0, 0)",91
Jharkhand,Sahebganj,demo_total,high_volume,567.945054945055,51683,30,567.9450549450551,567.9450549450548,0.0,-2919.757115720988,4055.6472256110983,"(0, 0, 0)",91
Jharkhand,Hazaribagh,demo_total,high_volume,564.5934065934066,51378,30,564.5934065934066,564.5934065934065,0.0,-3751.8710048088656,4881.0578179956765,"(0, 0, 0)",91
Jharkhand,Deoghar,demo_total,low_volume,520.2307692307693,47341,14,47.14320225230905,144.41291483880337,-9.840428359830456,-6588.975704928043,6683.26210943266,"(1, 0, 0)",91
Jharkhand,East Singhbhum,demo_total,low_volume,517.7252747252747,47113,14,517.7252747252744,517.7252747252745,0.0,-2637.1797789837583,3672.630328434308,"(0, 0, 0)",91
Jharkhand,West Singhbhum,demo_total,low_volume,501.3076923076923,45619,14,191.43405696070596,212.47862741473494,-1.5530295207518552,-2893.105300570775,3275.9734144921863,"(2, 1, 0)",91
